session,method,success,train_count,heldout_count,chain_translation_mm,chain_rotation_deg,reprojection_rmse_px,reprojection_complete,scored_event_camera_pairs,pixel_event_camera_pairs,scored_corners
session_20260905_134509,shah,True,11,3,1.6653630711293477,0.4867040677862485,2.358504161420265,True,6,6,91
session_20260905_134509,tsai,True,11,3,1.601861790356167,0.4777822824901478,1.787108291407865,True,6,6,91
session_20260905_134509,park,True,11,3,1.769236759704759,0.4868646734315205,2.013259572421575,True,6,6,91
session_20260905_134509,horaud,True,11,3,1.7693622588221463,0.48669044844108145,2.0145116535963976,True,6,6,91
session_20260905_134509,andreff,True,11,3,8.954160682166906,0.49016349487695515,23.583992289837173,True,6,6,91
session_20260905_134509,daniilidis,True,11,3,1.897453609066262,0.4714372789416734,2.485567163333247,True,6,6,91
session_20260905_141521,shah,True,10,3,2.3644304123298654,0.26562152679061457,1.8406966883953384,True,6,6,48
session_20260905_141521,tsai,True,10,3,2.2809930842271307,0.2664530639851513,1.6965347538384241,True,6,6,48
session_20260905_141521,park,True,10,3,2.3712214381542362,0.26575798884000534,1.9266794703449295,True,6,6,48
session_20260905_141521,horaud,True,10,3,2.373940086928966,0.26562104160400807,1.9319705255518724,True,6,6,48
session_20260905_141521,andreff,True,10,3,2.696316149007332,0.26460109581587254,2.9236800694935954,True,6,6,48
session_20260905_141521,daniilidis,True,10,3,2.397837975978109,0.26367148085348563,2.452215477969107,True,6,6,48
session_20260906_170504_ddec38,shah,True,6,2,0.8086138535055851,0.09234558071014008,0.24319251108719922,True,4,4,65
session_20260906_170504_ddec38,tsai,False,6,2,,,,,,,
session_20260906_170504_ddec38,park,True,6,2,1.1513350250696492,0.09234054700095855,1.3051801875247966,True,4,4,65
session_20260906_170504_ddec38,horaud,True,6,2,1.151336369408277,0.09233997670022479,1.3051814941143534,True,4,4,65
session_20260906_170504_ddec38,andreff,True,6,2,11.616470640594489,0.21588521188300566,16.713612372128793,True,4,4,65
session_20260906_170504_ddec38,daniilidis,True,6,2,1.048656627513043,0.0958515569405481,0.9718408171097735,True,4,4,65
