method,trial,noise_sigma_mm,status,calibration_pose_count,heldout_pose_count,heldout_translation_error_mm,heldout_rotation_error_deg,camera_pose_translation_error_mm,camera_pose_rotation_error_deg,pairwise_registration_translation_error_mm,pairwise_registration_rotation_error_deg,heldout_reprojection_rmse_px,cam0_camera_pose_translation_error_mm,cam0_camera_pose_rotation_error_deg,cam0_heldout_translation_error_mm,cam0_heldout_rotation_error_deg,cam0_heldout_reprojection_rmse_px,cam1_camera_pose_translation_error_mm,cam1_camera_pose_rotation_error_deg,cam1_heldout_translation_error_mm,cam1_heldout_rotation_error_deg,cam1_heldout_reprojection_rmse_px,cam3_camera_pose_translation_error_mm,cam3_camera_pose_rotation_error_deg,cam3_heldout_translation_error_mm,cam3_heldout_rotation_error_deg,cam3_heldout_reprojection_rmse_px,wrist_camera_pose_translation_error_mm,wrist_camera_pose_rotation_error_deg,wrist_heldout_translation_error_mm,wrist_heldout_rotation_error_deg,wrist_heldout_reprojection_rmse_px
daniilidis,0,0.0,ok,10,4,1.652569920307537e-06,8.481368278168384e-08,2.4064635230359346e-06,6.800228931999177e-08,1.2806600322108171e-06,7.599357275772876e-08,1.044175872434757e-06,3.4315389996224496e-06,1.0178285877664228e-07,2.153673782500104e-06,1.2156816246758638e-07,1.226601861101398e-06,3.089964188018076e-06,9.297129433042702e-08,2.1114276149351873e-06,1.1602489856282058e-07,9.766134424396033e-07,3.1043505892604733e-06,7.725498316558085e-08,2.345177848335806e-06,1.0166164923645549e-07,1.3794517275671068e-06,3.152427400121712e-13,2.100731688168745e-14,4.3545905043191924e-13,2.0859872928848305e-14,7.23026260004322e-13
daniilidis,0,1.0,ok,10,4,24.253547959474066,38.493500366915356,99.5804413980587,38.39963743339229,197.31158790861937,76.64973299801643,84.20311191465944,1.9888166722435725,0.12888065382911532,0.6600991739409421,0.2730853232615985,1.839101922145177,0.7647105440190684,0.07816905118110244,0.2069864070274264,0.1548834418159848,2.139077069092336,3.0515406911870135,0.2522828457769577,1.139077120082759,0.3864387418470747,1.9338929466023955,392.51669768478513,153.139217182782,95.00802913684514,153.15959396073674,168.9011653779118
daniilidis,0,3.0,ok,10,4,25.036923861317334,38.53702866370301,102.21549399534601,38.25556490436962,198.80289719957364,76.0570319808243,84.73174512280036,5.956370060578767,0.39038975281720373,1.9396184865762347,0.8210337748676386,5.5123041454954285,2.290364763035433,0.23392821952130877,0.6495679177326175,0.4647551589272062,6.415002279470503,9.26220028418577,0.7615200179957617,3.553898642995759,1.1648127590135555,5.819993941453486,391.35304087358406,151.63642162714422,94.00461039796474,151.69751296200366,169.68374599243376
daniilidis,0,5.0,ok,10,4,26.110810565587244,38.583594184305085,104.931638683604,38.11470483904647,200.33641112457985,75.46348318044487,84.79499151426671,9.912743961209145,0.6569261458275213,3.172858957561995,1.371397912528875,9.179344684053293,3.8172314928246176,0.38884860568882257,1.13893974193152,0.7747928399153964,10.688548107357093,15.635538250734923,1.2776657220158034,6.159246506062962,1.9510024296051731,9.732575164393454,390.36104102964737,150.13537888265373,93.97219705679251,150.23718355517087,169.51951909565526
daniilidis,1,0.0,ok,10,4,1.652569920307537e-06,8.481368278168384e-08,2.4064635230359346e-06,6.800228931999177e-08,1.2806600322108171e-06,7.599357275772876e-08,1.044175872434757e-06,3.4315389996224496e-06,1.0178285877664228e-07,2.153673782500104e-06,1.2156816246758638e-07,1.226601861101398e-06,3.089964188018076e-06,9.297129433042702e-08,2.1114276149351873e-06,1.1602489856282058e-07,9.766134424396033e-07,3.1043505892604733e-06,7.725498316558085e-08,2.345177848335806e-06,1.0166164923645549e-07,1.3794517275671068e-06,3.152427400121712e-13,2.100731688168745e-14,4.3545905043191924e-13,2.0859872928848305e-14,7.23026260004322e-13
daniilidis,1,1.0,ok,10,4,1.3367491962110645,0.2868308136736176,2.6870334976143253,0.24423865695009422,3.270965800179996,0.3309146131901135,2.5344618548757434,4.091812115806319,0.2595415620863824,1.5743149885790855,0.31322841060491735,1.9673491297226529,1.176222192299047,0.22423705636457159,0.6087567595462482,0.2662857660870102,2.0800035729995154,2.432501933410861,0.26862190472398145,0.5933468606633724,0.27175973113959057,1.9041153772165822,3.0475977489410737,0.2245541046254414,2.5705781760555526,0.29604934686295226,3.7244401919774326
daniilidis,1,3.0,ok,10,4,3.9228383885367126,0.8619760979616261,7.97995284985957,0.736140857194445,9.692762206718973,0.998309405045509,7.5912753547414065,12.35523120350463,0.7836395767707847,4.7320621988260765,0.9422972559942874,5.91243178772083,3.478827003861106,0.6732781965996253,1.776941751068812,0.7983732580478984,6.24987768901353,7.217174846117635,0.8006393422878179,1.7863946709077017,0.810510847112025,5.707346926290973,8.868578345954907,0.6870063131195522,7.395954933344261,0.8967230306922938,11.131855925086944
daniilidis,1,5.0,ok,10,4,6.391231329554025,1.4392498954690702,13.162870605019918,1.2326876774876339,15.952688672295187,1.6733662512794834,12.63318353246886,20.722270675518985,1.3142837590180512,7.900672539549973,1.5746635165045633,9.871376668389171,5.719399368527766,1.1230285032393292,2.890617229516476,1.3297858849623525,10.433763536544555,11.895274558100548,1.325596669619039,2.9889620047100176,1.3428900525181564,9.504335579347748,14.314537817932374,1.167841778074116,11.784673544439634,1.5096601278912083,18.486465616487358
daniilidis,2,0.0,ok,10,4,1.652569920307537e-06,8.481368278168384e-08,2.4064635230359346e-06,6.800228931999177e-08,1.2806600322108171e-06,7.599357275772876e-08,1.044175872434757e-06,3.4315389996224496e-06,1.0178285877664228e-07,2.153673782500104e-06,1.2156816246758638e-07,1.226601861101398e-06,3.089964188018076e-06,9.297129433042702e-08,2.1114276149351873e-06,1.1602489856282058e-07,9.766134424396033e-07,3.1043505892604733e-06,7.725498316558085e-08,2.345177848335806e-06,1.0166164923645549e-07,1.3794517275671068e-06,3.152427400121712e-13,2.100731688168745e-14,4.3545905043191924e-13,2.0859872928848305e-14,7.23026260004322e-13
daniilidis,2,1.0,ok,10,4,24.684803354001367,38.98732630873393,99.54981885673294,38.86616109769699,198.05571450475952,77.64740186234451,83.84885568812608,1.4536574268509292,0.2070799063508815,1.2271865961475452,0.33925386401082785,1.7471846383126868,1.9056866972993007,0.21131100370318814,0.6015523466278124,0.3121444854700395,2.0882045583781315,0.6870982419317921,0.07415195278332294,0.3846658238364106,0.2560105390132877,1.8186641989132752,394.15283306084973,154.97210152795057,96.52580864939371,155.04189634644158,168.19320529224305
