method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
park,train,7,3,1.357165367704969,0.029233529625459536,1,5.265374892345195,2.2946404712601915,
park,train,10,3,1.854717011660713,0.22036132248694598,6,36.85473074660525,2.47839769295289,
park,train,12,3,2.963568396794444,0.11590712645430158,12,70.47768978162969,2.423456377807492,
park,train,13,3,1.3047244400665492,0.14286361576039658,10,36.284926557030566,1.904860271963027,
park,train,14,3,1.7739334081064502,0.27986223237548413,6,20.389876517290606,1.8434513155713572,
horaud,heldout,3,0,0.691519421086243,0.11890645371758074,5,8.755449646230508,1.3232875459423403,
horaud,heldout,8,0,1.1065630915499451,0.16611375537379205,11,17.859593188669727,1.2742053919161374,
horaud,heldout,15,0,1.3810272839345221,0.20746534025173707,12,17.854203650903834,1.2197746940488585,
horaud,train,0,0,2.2211928890230612,0.14154066864976372,16,338.4310224217672,4.599123710160496,
horaud,train,1,0,2.145757947751123,0.2716009239722916,12,191.79336195351576,3.9978469408911814,
horaud,train,2,0,3.323271473051293,0.4231521539863181,14,329.54902759476795,4.851723019378697,
horaud,train,4,0,1.3524410616541362,0.04965504758286159,16,32.377833981562844,1.422538092230812,
horaud,train,6,0,2.2161187267525015,0.181442195593045,9,54.205713870250506,2.454150993051263,
horaud,train,7,0,1.0908004517450514,0.11487713582922539,11,16.890323284409526,1.2391464541959196,
horaud,train,10,0,1.5679934959103596,0.15664501885652746,3,4.37007157867804,1.2069343504209387,
horaud,train,12,0,1.1325888246914495,0.3233541163507729,5,8.06836984899791,1.2703046759732808,
horaud,train,13,0,1.3699972939917962,0.1700027966270021,1,2.2822115436155936,1.510699024827776,
horaud,train,14,0,1.1248983378272988,0.09618958345620542,3,7.593685733486504,1.5909835253165994,
horaud,heldout,3,3,5.94875268520663,0.5199381745943521,8,55.06243296996625,2.623509885867744,
horaud,heldout,8,3,1.164837493382385,0.34066254362056886,4,16.21037150103208,2.013105281712315,
horaud,heldout,15,3,3.950940546414071,0.24063998206601753,8,63.41843440005417,2.815546891814585,
horaud,train,0,3,2.357306878635011,0.22427878961763725,9,41.661103311497776,2.151513764551672,
horaud,train,1,3,2.5413162243048175,0.25372149529884597,8,51.185605437196415,2.5294664812267333,
horaud,train,2,3,3.886944922816125,0.10674103457844528,4,21.670272588723147,2.3275670016523233,
horaud,train,4,3,2.225609146030907,0.205391475106413,7,43.665879960317184,2.4975954138879026,
horaud,train,6,3,3.7012058903071368,0.13248188439808706,7,39.37673566071295,2.3717605173226115,
horaud,train,7,3,1.3609841463772459,0.028657614756647805,1,5.290165005617792,2.3000358705067603,
horaud,train,10,3,1.857219372952297,0.21999031797210125,6,36.92437258191087,2.480738216133485,
horaud,train,12,3,2.9675691393354118,0.11592245284056385,12,70.25355805636558,2.419599795702545,
horaud,train,13,3,1.307774593881851,0.1423710300518059,10,36.4494503401175,1.9091739140297697,
horaud,train,14,3,1.7760006659356964,0.2792135095383237,6,20.490730885095495,1.8480048198483094,
andreff,heldout,3,0,1.0846871225129762,0.11798452986910583,5,4.5638383484485665,0.9553887531731329,
andreff,heldout,8,0,1.3472832212121855,0.1671634543419251,11,72.55359974261069,2.5682254174395966,
andreff,heldout,15,0,2.778669738826882,0.2066947986260363,12,210.6985954603714,4.19025253276748,
andreff,train,0,0,3.7431408897878184,0.1406343224084547,16,1014.8768463555023,7.96428294934446,
andreff,train,1,0,1.721293882201717,0.27196989594793314,12,112.58789398463124,3.063058030583043,
andreff,train,2,0,3.518497897943134,0.4224163971678878,14,317.34093456605507,4.7610093060044605,
andreff,train,4,0,1.0852878560099446,0.05005226725092247,16,11.873625099993308,0.8614531726969156,
andreff,train,6,0,2.8343816448819608,0.18400946474925156,9,212.25342234984234,4.856306579534175,
andreff,train,7,0,1.3420380645222132,0.11594789004629003,11,81.21471783175559,2.7171963798230037,
andreff,train,10,0,1.6031471878458383,0.1564334021735785,3,5.436182399765993,1.3461280770870199,
andreff,train,12,0,1.3427609080317107,0.3218349843083466,5,21.034717116928213,2.0510834754796408,
andreff,train,13,0,2.458835035298196,0.17095082610914053,1,13.778172620786334,3.71189609509565,
andreff,train,14,0,1.9902917386195573,0.09727586849285472,3,47.50991511004611,3.9795274053605123,
andreff,heldout,3,3,5.882011366601907,0.5208089212470298,8,53.271008525483104,2.580479813074574,
andreff,heldout,8,3,1.1592131564530104,0.3375280630467011,4,15.810043873563115,1.9880922937305447,
andreff,heldout,15,3,3.9260322884370313,0.23742680776443728,8,53.40236118971871,2.583659255535613,
andreff,train,0,3,2.1981673896467826,0.20823334358092752,9,29.707613254505116,1.8168230285768714,
andreff,train,1,3,2.4436620742387696,0.2514666626167435,8,47.00802592126624,2.424046872516759,
andreff,train,2,3,3.787461501823107,0.10644055023369817,4,21.049169517326593,2.2939686962405674,
andreff,train,4,3,2.1751859396714397,0.2145075717887069,7,42.22892174377298,2.456156164874962,
andreff,train,6,3,3.811066314326587,0.14695495679017304,7,41.613755243183554,2.438200602411059,
andreff,train,7,3,1.3485852167499892,0.036093757401931756,1,5.180851891355649,2.276148477440707,
andreff,train,10,3,1.8189577957700551,0.2207946316744036,6,36.193938823130445,2.4560788133096234,
andreff,train,12,3,2.8709544938386027,0.12408790444373177,12,74.25668768464462,2.4875806131769314,
andreff,train,13,3,1.1657570555259535,0.14309666574084448,10,28.187147745761454,1.6789028484626933,
