method,success,heldout_translation_mm,heldout_rotation_deg,camera_pose_translation_error_mm,camera_pose_rotation_error_deg,registration_translation_error_mm,registration_rotation_error_deg,heldout_reprojection_rmse_px,registration_consistency_mm,registration_consistency_deg,heldout_camera_observations,registration_pair_observations
shah,True,7.47068230701425,1.5469635714564387,,,,,9.268871951587439,19.60325884645737,3.2667351278243597,53,25
tsai,True,13.235764235364119,1.7380278543377583,,,,,19.10486531191088,31.295975577604132,3.8258787505651344,53,25
park,True,11.046971893753966,1.54596578938757,,,,,15.895973378000825,30.632478904150254,3.2482403172321357,53,25
horaud,True,11.103294714658043,1.547132966680072,,,,,15.96772167787931,30.23717872169914,3.266009806771243,53,25
andreff,True,105.64092315489104,1.563565109031104,,,,,9105.530341134541,237.86474686025852,3.31123586841605,53,25
daniilidis,True,8.342905766719824,1.599227985417171,,,,,11.005816662960086,24.4776465194923,3.1279948672586335,53,25
