method,split,key,source_session,source_event_id,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,train,cam0-1_02:5,cam0-1_02,5,5,0,1.3774580689932654,0.4042620191666539,15,94.492266648408,2.5098773761335833,
shah,train,cam0-1_02:6,cam0-1_02,6,6,0,0.8465473481275422,0.3544617355093069,17,15.034409734315012,0.9404132300191235,
shah,train,cam0-1_02:12,cam0-1_02,12,12,0,1.1834668620543225,0.07133629631994198,24,46.31048680037962,1.389101730141635,
shah,train,cam0-1_02:16,cam0-1_02,16,16,0,1.3303119088177429,0.1867130718729907,16,32.898548392851865,1.4339314051073857,
shah,train,cam0-1_02:19,cam0-1_02,19,19,0,1.742332525923715,0.4850415879217073,21,54.04947329908802,1.60430185526718,
shah,train,cam0-1_02:21,cam0-1_02,21,21,0,0.8428474480173899,0.14325215916790313,18,42.392460877765956,1.5346454689704205,
shah,train,cam0-1_02:22,cam0-1_02,22,22,0,1.2205290453481519,0.18417152237954054,15,36.91859807304841,1.5688339209542101,
shah,train,cam0-1_02:23,cam0-1_02,23,23,0,0.6807714736883748,0.1600443229185958,27,67.88172536749175,1.5856033478060547,
shah,train,cam0-1_02:25,cam0-1_02,25,25,0,0.6313658644509318,0.06636211003475016,16,29.209415277340803,1.3511433879621364,
shah,train,cam0-1_02:26,cam0-1_02,26,26,0,1.1894854499608392,0.15997803040091083,32,241.43485734617127,2.7467870853176537,
shah,train,cam0-1_02:27,cam0-1_02,27,27,0,1.0866963307677073,0.1340472751067713,16,136.27019457970695,2.9183706346575797,
shah,train,cam0-1_02:29,cam0-1_02,29,29,0,1.0659500937634818,0.4504641512457123,24,180.55233257466946,2.7428113054451804,
shah,train,cam0-3_01:0,cam0-3_01,0,30,0,0.7460032009232292,0.1453816330103034,32,119.98722386445093,1.9363885833592624,
shah,train,cam0-3_01:1,cam0-3_01,1,31,0,0.9950666501922483,0.0932066039301854,27,121.46603602739202,2.1210238270911983,
shah,train,cam0-3_01:3,cam0-3_01,3,33,0,0.8673505343424344,0.12802925257945252,40,185.2054224160872,2.151774979035257,
shah,train,cam0-3_01:4,cam0-3_01,4,34,0,0.4537788389395445,0.16270014733686664,36,60.03230442256728,1.2913419422205645,
shah,train,cam0-3_01:5,cam0-3_01,5,35,0,0.3583042387888821,0.11128120561467235,36,80.7078846891354,1.4972927855998361,
shah,train,cam0-3_01:7,cam0-3_01,7,37,0,0.36148013926958694,0.1972984293621627,36,75.21661036236154,1.4454585043657864,
shah,train,cam0-3_01:8,cam0-3_01,8,38,0,0.5236683328356211,0.16539251448993214,30,10.705866707797123,0.5973794636520722,
shah,train,cam0-3_01:9,cam0-3_01,9,39,0,1.0211430749652375,0.14075735958896696,35,59.931916705934334,1.3085642809248652,
shah,train,cam0-3_01:11,cam0-3_01,11,41,0,1.7231949798967363,0.35309626208595135,24,20.140098924392063,0.9160626553442379,
shah,train,cam0-3_01:12,cam0-3_01,12,42,0,0.677287318374831,0.1947636303594795,18,45.13999814081775,1.583596436750814,
shah,train,cam0-3_01:13,cam0-3_01,13,43,0,0.8129465131564771,0.13070759643703422,27,17.92072749458125,0.8146966600811947,
shah,train,cam0-3_01:15,cam0-3_01,15,45,0,0.8776565017832084,0.1928691900449696,40,51.22793114481135,1.1316794062897335,
shah,train,cam0-3_01:16,cam0-3_01,16,46,0,0.44591723106471465,0.22720366898853542,40,27.163449310823097,0.8240668861024434,
shah,train,cam0-3_01:17,cam0-3_01,17,47,0,0.8688928164220613,0.20988636361882576,36,13.69544876196591,0.6167893743222486,
shah,train,cam0-3_01:19,cam0-3_01,19,49,0,0.9600968110097424,0.401296514393337,10,39.86503872245292,1.9966231172270075,
shah,train,cam0-3_01:20,cam0-3_01,20,50,0,0.4736048023617843,0.18444981463111587,34,98.88779068814233,1.7054220685813193,
shah,train,cam0-3_01:21,cam0-3_01,21,51,0,0.6339334548398723,0.3964282407524099,22,195.73312930563395,2.982777300266207,
shah,train,cam0-3_01:23,cam0-3_01,23,53,0,0.6747891131935769,0.13439977186566196,35,77.7850643618297,1.4907818117813187,
shah,train,cam0-3_01:24,cam0-3_01,24,54,0,0.8968187489022525,0.275979062936641,37,29.92482313948405,0.8993214129385774,
