method,key,pair,translation_mm,rotation_deg
horaud,cam1-3_02:18,1-3,47.22521132649578,3.2418320961944955
horaud,cam1-3_02:22,1-3,51.3985396724834,3.1873947559394673
horaud,cam1-3_02:26,1-3,51.41517236225471,3.215074238772855
horaud,cam1-3_02:30,1-3,44.51988466918041,3.132198551297862
horaud,cam1-3_02:34,1-3,53.860239337738165,3.0752618573253248
horaud,cam1-3_02:38,1-3,48.17282662744567,4.988635684957997
horaud,cam1-3_02:42,1-3,58.40318938914255,11.95549665341401
andreff,cam0-1_02:3,0-1,40.39678410672213,0.737466633590496
andreff,cam0-1_02:7,0-1,40.860232651694425,1.2353021191269058
andreff,cam0-1_02:11,0-1,39.66472314555798,0.3927997669084209
andreff,cam0-1_02:20,0-1,37.626472702540084,1.570618319001391
andreff,cam0-1_02:24,0-1,35.644835960019314,1.9420791415669958
andreff,cam0-1_02:28,0-1,41.24146205153651,0.3520178890890346
andreff,cam0-3_01:2,0-3,308.8740642988014,3.2193350630751065
andreff,cam0-3_01:6,0-3,284.7579931517921,3.070493951438408
andreff,cam0-3_01:10,0-3,285.75905564737053,2.0289727115923903
andreff,cam0-3_01:14,0-3,280.3374013450637,3.752012236910215
andreff,cam0-3_01:18,0-3,292.4397987328909,3.73375600131162
andreff,cam0-3_01:22,0-3,304.2982036957027,2.7769467237031735
andreff,cam0-3_01:30,0-3,274.97282410767036,6.637693993232284
andreff,cam0-3_01:38,0-3,284.2746367058816,3.0097958481693996
andreff,cam1-3_02:2,1-3,316.30901910652153,3.494881249346479
andreff,cam1-3_02:6,1-3,312.2112560006769,3.514891162340377
andreff,cam1-3_02:10,1-3,314.085237315404,3.653650795028038
andreff,cam1-3_02:14,1-3,316.03968198077274,3.5818509889614742
andreff,cam1-3_02:18,1-3,314.4421542571004,3.441279476116354
andreff,cam1-3_02:22,1-3,314.180699765071,3.413345844035312
andreff,cam1-3_02:26,1-3,316.0729801171292,3.4195941300985844
andreff,cam1-3_02:30,1-3,313.09740231634066,3.31248852830362
andreff,cam1-3_02:34,1-3,315.7897138212616,3.30921744072476
andreff,cam1-3_02:38,1-3,300.21436106681546,5.149600288173797
andreff,cam1-3_02:42,1-3,263.02767745612624,12.03080640855661
daniilidis,cam0-1_02:3,0-1,4.6112933164636765,0.7718401234787529
daniilidis,cam0-1_02:7,0-1,8.937528882967209,1.2073096335780442
daniilidis,cam0-1_02:11,0-1,4.445394763895424,0.24560269165331547
daniilidis,cam0-1_02:20,0-1,5.968814671787586,1.4098289694557586
daniilidis,cam0-1_02:24,0-1,9.471173503210915,1.8372479828596688
daniilidis,cam0-1_02:28,0-1,5.1734079302536555,0.41719397841269606
daniilidis,cam0-3_01:2,0-3,25.19932466700896,2.3941069423782557
daniilidis,cam0-3_01:6,0-3,10.397405529442144,3.8530108145385635
daniilidis,cam0-3_01:10,0-3,9.297219021948301,2.7941967363223017
daniilidis,cam0-3_01:14,0-3,14.385914489790409,4.5107201082836
daniilidis,cam0-3_01:18,0-3,11.076870601812812,4.513831195219783
daniilidis,cam0-3_01:22,0-3,20.019253576055885,1.9780003359960294
daniilidis,cam0-3_01:30,0-3,19.83158688014217,7.211977570487796
daniilidis,cam0-3_01:38,0-3,13.551086150724458,3.335698335530306
daniilidis,cam1-3_02:2,1-3,39.62284189976193,2.8576467379281896
daniilidis,cam1-3_02:6,1-3,35.374006690486866,2.904467853848861
daniilidis,cam1-3_02:10,1-3,38.43065110331508,3.008378119853206
daniilidis,cam1-3_02:14,1-3,40.36086464427174,2.978971580175036
daniilidis,cam1-3_02:18,1-3,38.99245378508912,2.814079547872347
daniilidis,cam1-3_02:22,1-3,40.90396345063011,2.7929877628765967
daniilidis,cam1-3_02:26,1-3,41.55612999699712,2.7962727536624605
daniilidis,cam1-3_02:30,1-3,36.5467738590283,2.651186388280565
daniilidis,cam1-3_02:34,1-3,43.052559914189544,2.683157964423006
daniilidis,cam1-3_02:38,1-3,36.05134313704406,4.527911026779379
daniilidis,cam1-3_02:42,1-3,58.683300520990116,11.704246527571323
