method,success,heldout_translation_mm,heldout_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,camera_pose_aggregation,reprojection_rmse_px,reprojection_complete,observations,corners,registration_translation_mm,registration_rotation_deg,registration_aggregation,cross_view_reprojection_rmse_px,cross_view_complete,pair_observations,directed_corners,reference_kind
shah,True,0.9425407116857605,0.1631758210930575,1.5547787338661385,0.16317582109305778,equal-camera macro after per-camera event mean,1.9911931999622878,True,16,641,2.3969799611104783,0.28932373432044994,equal-pair macro after per-event pair mean,2.854695979020341,True,24,1923,cross-target PnP consistency; not independent physical GT
tsai,True,1.3100818893874173,0.22946863930884664,1.6700007199162155,0.22946863930884703,equal-camera macro after per-camera event mean,5.3117013135273545,True,16,641,3.2440038318658715,0.4142981874385528,equal-pair macro after per-event pair mean,6.685243219651482,True,24,1923,cross-target PnP consistency; not independent physical GT
park,True,0.8822164638088752,0.16325104932750073,1.4922558451462882,0.16325104932750126,equal-camera macro after per-camera event mean,1.8934565833399004,True,16,641,2.2924733394809977,0.2894456510746473,equal-pair macro after per-event pair mean,2.7160438724879863,True,24,1923,cross-target PnP consistency; not independent physical GT
horaud,True,0.8819681053031927,0.16317590086600098,1.4926407906862216,0.1631759008660008,equal-camera macro after per-camera event mean,1.8838268884211622,True,16,641,2.2921439142034403,0.2893239363484054,equal-pair macro after per-event pair mean,2.7047550541940155,True,24,1923,cross-target PnP consistency; not independent physical GT
andreff,True,0.7890087608451215,0.1630620288954589,1.4918487901739803,0.16306202889545904,equal-camera macro after per-camera event mean,1.4057792554078334,True,16,641,2.2597930422029613,0.28918282726893835,equal-pair macro after per-event pair mean,2.1750678476346708,True,24,1923,cross-target PnP consistency; not independent physical GT
daniilidis,True,0.932177098784304,0.1662290889054624,1.6093415664337944,0.1662290889054622,equal-camera macro after per-camera event mean,1.5601517556011728,True,16,641,2.450771317772507,0.29656435257057606,equal-pair macro after per-event pair mean,2.267475814209026,True,24,1923,cross-target PnP consistency; not independent physical GT
