method,split,event_id,pair,translation_mm,rotation_deg,directed_corner_count,cross_view_pixel_sse,cross_view_reprojection_rmse_px,pixel_failure
daniilidis,prior_comparison,2,1-3,361.1226907751423,22.36567547208902,54,1717882.7398016267,178.36099161436547,
daniilidis,prior_comparison,2,2-3,59.85153068187129,1.7836326403692186,100,1304411.1441942388,114.21082016141197,
daniilidis,prior_comparison,5,0-1,145.40802857889858,17.068954658192986,57,401850.94247584965,83.96437658116702,
daniilidis,prior_comparison,5,0-2,21.59280945279074,6.37223995569078,103,1371039.416830548,115.37357712806563,
daniilidis,prior_comparison,5,0-3,61.67618718738843,5.365704949083532,82,1005333.8505654694,110.72564702603906,
daniilidis,prior_comparison,5,1-2,327.07761634732617,23.22394544225815,70,1182605.2754381024,129.9783100278165,
daniilidis,prior_comparison,5,1-3,360.6338912240188,22.429372671070897,49,1575283.136487466,179.30040557265818,
daniilidis,prior_comparison,5,2-3,73.2365213796964,2.163037976719467,95,802723.9185143596,91.92238823075633,
daniilidis,prior_comparison,9,0-1,144.87466491059163,16.917303986698272,60,443446.6477558615,85.96963104839809,
daniilidis,prior_comparison,9,0-2,22.157434154583378,6.106659511503264,106,1861256.0529383398,132.5104500307158,
daniilidis,prior_comparison,9,0-3,61.979839457924356,5.258959403281889,85,1045412.0416962081,110.90069971116493,
daniilidis,prior_comparison,9,1-2,325.9424454618306,22.877579426747428,74,1631005.712192761,148.46082894937172,
daniilidis,prior_comparison,9,1-3,358.8241392713789,22.17310347656393,53,1737837.616605184,181.0784056494607,
daniilidis,prior_comparison,9,2-3,53.13357627605284,1.8501559050639664,99,1332994.3565936836,116.0370176303332,
daniilidis,prior_comparison,12,0-1,144.8303057736032,16.849852034607057,66,535401.7866397811,90.06746517150866,
daniilidis,prior_comparison,12,0-2,20.54865875671727,6.423634593009954,106,1762846.3770422745,128.9597851987666,
daniilidis,prior_comparison,12,0-3,61.6838899790005,5.380406184474939,82,1008921.3637665233,110.92303219044932,
daniilidis,prior_comparison,12,1-2,328.390058610994,23.17990603721564,80,1811203.2691725227,150.46607878407855,
daniilidis,prior_comparison,12,1-3,359.5499219963237,22.227421864414957,56,2059357.5448777303,191.766112420356,
daniilidis,prior_comparison,12,2-3,56.52053769840698,1.7237845773982317,96,1027770.421408593,103.4695215494536,
