method,trial,noise_sigma_mm,status,calibration_pose_count,heldout_pose_count,heldout_translation_error_mm,heldout_rotation_error_deg,camera_pose_translation_error_mm,camera_pose_rotation_error_deg,pairwise_registration_translation_error_mm,pairwise_registration_rotation_error_deg,heldout_reprojection_rmse_px,cam0_camera_pose_translation_error_mm,cam0_camera_pose_rotation_error_deg,cam0_heldout_translation_error_mm,cam0_heldout_rotation_error_deg,cam0_heldout_reprojection_rmse_px,cam1_camera_pose_translation_error_mm,cam1_camera_pose_rotation_error_deg,cam1_heldout_translation_error_mm,cam1_heldout_rotation_error_deg,cam1_heldout_reprojection_rmse_px,cam3_camera_pose_translation_error_mm,cam3_camera_pose_rotation_error_deg,cam3_heldout_translation_error_mm,cam3_heldout_rotation_error_deg,cam3_heldout_reprojection_rmse_px,wrist_camera_pose_translation_error_mm,wrist_camera_pose_rotation_error_deg,wrist_heldout_translation_error_mm,wrist_heldout_rotation_error_deg,wrist_heldout_reprojection_rmse_px
tabb_c2_sep,0,1.0,ok,10,4,0.3888248189690108,0.26374865272129616,1.3732256769794833,0.14432024862878617,1.3779515924606638,0.17160074248518833,2.432771171902632,1.647961127452169,0.11948593837749773,0.4973309802713951,0.26130478821713155,1.8148980451766565,0.5723783622918933,0.08354378892077627,0.3270487012745028,0.1559299831212545,2.1373194212009317,2.4433398009084053,0.18998238299432338,0.5649088828557285,0.3413703157441219,1.8666335266978265,0.8292234172654651,0.18426888422254728,0.16601071147441668,0.2963895238026767,3.5110101614408524
tabb_c2_sim,0,1.0,ok,10,4,0.377765070937996,0.2606823902671822,1.3224652748694583,0.13948495177591555,1.3343474545699952,0.16645986750066483,2.4312868809060566,1.5832579183326103,0.11463704190141652,0.4829908662375283,0.2586874518647906,1.8130086303859665,0.5489098578398028,0.07988665053037454,0.32027099182339885,0.15485253284972916,2.1373743433613814,2.3371514926226773,0.18156411144010504,0.5427529297195127,0.3344202267502743,1.86106990368664,0.8205418306827424,0.1818520032317661,0.16504549597154408,0.2947693496039348,3.51079378846749
tabb_c2_sim_joint,0,1.0,ok,10,4,0.34262891115315275,0.2506110601710057,1.0496489314486934,0.12317905371033197,1.0413798827130631,0.13214215416276257,2.4266250854331357,0.9595144529958695,0.08574928362303968,0.3692868988067961,0.25433228758533566,1.811122502371199,0.3130483779763124,0.07744958604915865,0.32731441744544765,0.15040948781812474,2.1403804819609205,2.105491064139849,0.1476653419373635,0.5088688323888233,0.3029331156766276,1.8349307533847168,0.8205418306827424,0.1818520032317661,0.16504549597154408,0.2947693496039348,3.51079378846749
tabb_rp1,0,1.0,ok,10,4,0.31352087487057434,0.21329999272715347,0.5726715995833687,0.050479870512957326,0.7048308795838995,0.0807821237305573,2.4246983464233733,0.8651293234437868,0.06677027727449147,0.38766705018636743,0.23496876622869275,1.8102841297064296,0.3977530816535105,0.029222557007064404,0.2961916821552465,0.15252605047706483,2.1488796889355335,0.6583141327126478,0.04330606153505615,0.31340993727289085,0.25135392845214044,1.7970279521273418,0.36948986052352956,0.06262058623521728,0.25681482986779275,0.2143512257507158,3.520302014895787
tabb_rp1_joint,0,1.0,ok,10,4,0.2959103517810886,0.21061587552538086,0.45087323672230095,0.043929110051992015,0.5237793139133179,0.06482146070483853,2.4230968769753334,0.6152216020796054,0.04198253290169817,0.3933402951674925,0.22599909901666,1.8052139579787942,0.3640034811850185,0.033076769131058656,0.25894578824016157,0.1537747455209324,2.1499958217531967,0.45477800310105054,0.038036551939993966,0.27454049384890744,0.24833843181321522,1.792146243227225,0.36948986052352956,0.06262058623521728,0.25681482986779275,0.2143512257507158,3.520302014895787
shah,0,1.0,ok,10,4,0.6741212944244479,0.26374857131775004,1.4754816418799872,0.14432022700182695,1.552820021913984,0.17160063064263031,2.4465971765145476,1.6094527365002582,0.11948602640032968,0.5597069258942087,0.2613048458134708,1.816417370205156,0.6163991425300362,0.08354423187285281,0.3615541349863527,0.15593010341577052,2.13757784897557,2.3864150177497443,0.1899821280975839,0.7653779284233602,0.34137005424095385,1.8316616607707277,1.2896596707399102,0.18426852163654145,1.0098461883938699,0.2963892818008049,3.566476610573018
tabb_c1_sep,0,3.0,ok,10,4,1.5887872477251945,0.7908713174659541,4.1540763103378,0.4320897317319462,4.635703815008407,0.5095909135609898,7.277528902598109,4.877675600910988,0.36199034727424434,1.6658582145169314,0.7849951205364928,5.4489974723413495,1.8422881881291813,0.25015139925666624,1.0988065238846751,0.46795578044198494,6.409285903481263,7.159430702453673,0.5688778749713939,2.3358926609560724,1.0261230984459875,5.491893858320459,2.736910749857358,0.5473393054254804,1.2545915915430996,0.8844112704393515,10.531775268937302
tabb_c1_sim,0,3.0,ok,10,4,1.5508023552112353,0.7791288734125646,3.9768494459772565,0.41527598356125683,4.479952635524681,0.48973749483160817,7.273124568022439,4.672998232541081,0.34747913430034233,1.620071635314537,0.7770631001570137,5.443794159946364,1.7310000506793812,0.24189892481769737,1.0835962902274665,0.46516770922606293,6.409733945924277,6.80849293346285,0.5371341867443704,2.247679881635513,0.9983268600585696,5.47586773969397,2.6949065672257126,0.5345916883826172,1.2518616136674252,0.8759578242086123,10.530368099542631
tabb_c2_sep,0,3.0,ok,10,4,1.1710732406248794,0.7908712949254673,4.126019998546085,0.4320897497896478,4.109410302770007,0.5095912552210243,7.299096677208795,4.990659193236861,0.3619905432921419,1.505518489665275,0.7849951380407458,5.445238392663488,1.7031684267775038,0.250151360127933,0.979576243065214,0.4679557858366746,6.4084719798036245,7.343563296425343,0.5688780293904312,1.7037431734023094,1.0261231441140428,5.599930727141361,2.466689077744634,0.547339066348085,0.49545505636671994,0.8844111117104055,10.53702476011684
tabb_c2_sim,0,3.0,ok,10,4,1.1378610306653645,0.781700315446311,3.9734163218042955,0.4176005777810914,3.9793548129419496,0.49428532287737403,7.2946731908643825,4.7942697374134235,0.34728034587322887,1.4618426304367054,0.7769822521013305,5.439418549692867,1.6333163127641315,0.2391897720208098,0.9594085605402117,0.46474945143008684,6.408641036826982,7.025147859016859,0.5437620735596352,1.637560839857738,1.0054427788658744,5.583512824826621,2.4409313780227686,0.5401701196706915,0.4926320918268028,0.8796267793879524,10.53638734497803
