method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,prior_comparison,2,0,81.6689051543812,6.468888238682885,19.918128001662907,6.468888238682885,54,758579.4330772051,118.52327737287516,
shah,prior_comparison,2,1,87.96169592886612,23.465572457565823,333.21290459887445,23.46557245756582,14,315430.1169013972,150.10237385136213,
shah,prior_comparison,2,2,1.2637557341357268,0.0984840546542719,1.1241585685932507,0.09848405465427273,60,363.8253124971788,2.462469331440762,
shah,prior_comparison,2,3,66.42142589232677,2.030386173376974,64.17420949854836,2.0303861733769732,40,370255.6059360475,96.21013537253332,
shah,prior_comparison,5,0,81.66593948182484,6.479118333807048,19.743917234601625,6.47911833380705,45,629454.2398026477,118.27033438531572,
shah,prior_comparison,5,1,90.25696993188781,23.503938238694314,332.69419073787384,23.503938238694317,12,281218.39552134194,153.08450703270125,
shah,prior_comparison,5,2,5.953939041137836,1.1136561818532777,10.178200357556982,1.113656181853279,58,1863.216970677304,5.667841787569501,
shah,prior_comparison,5,3,66.33308450523589,2.050555855145554,63.600373587356025,2.050555855145553,37,348228.4910423296,97.01330238159034,
shah,prior_comparison,9,0,81.65456217766881,6.476830893655924,19.681783540953766,6.476830893655923,46,646155.2166608506,118.51941839253789,
shah,prior_comparison,9,1,89.34311757137894,23.348596779003284,331.51080791043364,23.34859677900328,14,327451.98387394426,152.93602394324054,
shah,prior_comparison,9,2,1.2373409935159028,0.346841226829375,2.769441773370119,0.34684122682937546,60,73.18339661515006,1.1044108279617544,
shah,prior_comparison,9,3,66.61796493160122,2.019827321042461,64.66554407042827,2.019827321042461,39,361270.2588314127,96.24624652440335,
shah,prior_comparison,12,0,81.75849566567283,6.495440545013152,19.638103848260112,6.495440545013152,46,646354.4753906027,118.53769125312758,
shah,prior_comparison,12,1,88.68453447675068,23.29662005649797,331.1282687982589,23.296620056497964,20,486178.3084403651,155.91316628822037,
shah,prior_comparison,12,2,1.8179288290705564,0.26465611967639374,1.9623489055197374,0.2646561196763938,60,139.4356907654835,1.5244435638700191,
shah,prior_comparison,12,3,66.4469316711476,2.003343644837759,64.11131364721697,2.0033436448377566,36,332771.5728562529,96.14392753347754,
tsai,prior_comparison,2,0,86.94667636749584,8.060718944102115,14.211116518592418,8.060718944102115,54,814793.0624555926,122.83631554163576,
tsai,prior_comparison,2,1,87.28527876997535,24.935054556041298,353.0332152280152,24.935054556041305,14,359081.76138761896,160.15210657987856,
tsai,prior_comparison,2,2,3.1114528355036906,0.1387482136171371,3.137004743612629,0.13874821361713816,60,2612.999448984275,6.599241684951733,
tsai,prior_comparison,2,3,63.0096490371103,3.4224652466649546,67.09228804882918,3.4224652466649546,40,405282.4137443449,100.65813600305056,
tsai,prior_comparison,5,0,86.94084964362627,8.070516708718797,14.058062669909086,8.070516708718799,45,673374.020438436,122.32688633679079,
tsai,prior_comparison,5,1,89.54961395738034,24.971978995853622,352.452927392123,24.97197899585362,12,320147.83095443057,163.33703166419187,
tsai,prior_comparison,5,2,9.248884982915047,1.3380059308067704,6.237031866182978,1.338005930806771,58,13733.274517424476,15.387676729383426,
tsai,prior_comparison,5,3,62.90970305880487,3.423196088341562,66.48384765889885,3.4231960883415606,37,379075.1310550422,101.21893998802021,
tsai,prior_comparison,9,0,86.92948930537251,8.068277390413074,14.005104825897588,8.068277390413074,46,691852.0876486994,122.63874907618606,
tsai,prior_comparison,9,1,88.65627470301176,24.818684764011163,351.3070906655286,24.818684764011167,14,373580.00864751986,163.3532562637357,
tsai,prior_comparison,9,2,2.3962424069006003,0.9519537022102466,5.866528462262673,0.951953702210247,60,1493.0803911968578,4.988453987621245,
tsai,prior_comparison,9,3,63.086010047805686,3.4022627991050927,67.40433103691545,3.4022627991050944,39,392104.2999718272,100.2694191143742,
tsai,prior_comparison,12,0,87.03220530691901,8.086801711512072,13.987803976800217,8.086801711512074,46,691706.9347288951,122.6258833881131,
tsai,prior_comparison,12,1,88.00888236573168,24.76551001384866,350.9363231047318,24.76551001384866,20,554214.0044480752,166.4653123698861,
tsai,prior_comparison,12,2,1.3970432157665964,0.45561482783173607,2.6371363097828295,0.4556148278317335,60,144.12144354743833,1.54984646308077,
tsai,prior_comparison,12,3,62.961161416941415,3.3996154606194584,66.96659602729065,3.3996154606194597,36,367613.9774624135,101.05196373131959,
park,prior_comparison,2,0,83.15020580045979,6.463723293991526,20.79875869315659,6.463723293991526,54,787378.3709156079,120.75214674233179,
park,prior_comparison,2,1,86.03338316281467,23.49474137893399,335.8913172535395,23.49474137893399,14,343819.82240589283,156.71170582722294,
park,prior_comparison,2,2,0.9079500536936717,0.09893187719558859,0.7162432525090444,0.0989318771955873,60,223.9410640323183,1.9319293639274975,
park,prior_comparison,2,3,68.59107553284323,1.997935903298391,66.58308089666146,1.9979359032983908,40,507050.61887927284,112.58892251008453,
park,prior_comparison,5,0,83.14653605787713,6.473942725972217,20.630092152343867,6.473942725972216,45,653961.0629946465,120.55068671122409,
park,prior_comparison,5,1,88.24797078046048,23.53311296210855,335.3430561674393,23.533112962108547,12,306396.40799095394,159.79059421394666,
park,prior_comparison,5,2,5.775902526605748,1.1136891702749425,9.60310603265249,1.1136891702749416,58,1813.2920845907543,5.591391296526749,
park,prior_comparison,5,3,68.49604466859567,2.0188573495306272,65.9768003706473,2.0188573495306272,37,474232.0878993024,113.2125587412364,
park,prior_comparison,9,0,83.13481989406394,6.471658828964889,20.572311573608218,6.471658828964889,46,671104.7083976768,120.78589649149376,
