method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,train,0,0,0.0956399174997933,0.03039849924395589,0.2417210251094592,0.03039849924395641,44,9.620793759083483,0.4676049653452513,
shah,train,0,1,0.4775915287831083,0.18137634195170205,1.9688677636847578,0.18137634195170074,16,8.846628435452114,0.7435820581588539,
shah,train,0,2,5.746754670750899,0.9223874533959469,7.927512345485974,0.9223874533959461,10,16.215598726052296,1.2734048345303348,
shah,train,0,3,0.23082525171177296,0.07266528092338653,0.6891509498112323,0.07266528092338377,33,6.70304625531336,0.45069126217109484,
shah,train,1,0,0.159361297730519,0.04663760902614573,0.4381172987584194,0.04663760902614566,47,9.982736694648402,0.4608672835834906,
shah,train,1,1,1.9087136576121588,0.06585949029243181,1.8829643803249079,0.06585949029243322,16,4.036430917967261,0.5022717714275349,
shah,train,1,2,1.261284187506841,0.16900174814476326,2.0223973150462164,0.1690017481447632,60,297.0334497798943,2.2249848305845976,
shah,train,1,3,0.6948122300436089,0.07235577458489459,0.9356400222602475,0.07235577458489416,35,9.428104255097116,0.5190129163021755,
shah,train,3,0,0.07570053829150823,0.02758291139355045,0.28246192544493304,0.027582911393550447,50,8.667840823745045,0.41636140127886606,
shah,train,3,1,0.3019026018206911,0.13575910299012586,1.3686209238448548,0.13575910299012847,13,3.713297346206636,0.5344513611176517,
shah,train,3,2,1.2524053529108203,0.4522885593368485,4.001007380072935,0.4522885593368496,60,35.50537966783673,0.7692569972364754,
shah,train,3,3,0.11895603135334196,0.02060255834730627,0.21185077694119034,0.020602558347307464,40,10.054209456433796,0.5013534047065452,
shah,train,4,0,0.036074006203171,0.011824013561112633,0.05269057327548134,0.011824013561111906,53,10.469167909417134,0.44444512595932756,
shah,train,4,1,1.107250633078631,0.16252211134972927,2.291889134209589,0.16252211134973082,14,3.4464573049916076,0.49616078219173554,
shah,train,4,2,2.765336231883514,0.35106772337100434,3.090576106301191,0.3510677233710057,60,647.5493043174057,3.285192293502786,
shah,train,4,3,0.21526541395770918,0.017573568985083214,0.2233602984290137,0.01757356898508262,37,9.885479281946635,0.5168898487378983,
shah,train,6,0,0.09541756690842242,0.00777811637916806,0.11082405446596663,0.007778116379168405,54,10.409639231695152,0.4390570542460781,
shah,train,6,1,1.1338388160726236,0.11914256753521053,1.4691141531807912,0.11914256753520744,17,3.44373291481565,0.4500805754539076,
shah,train,6,2,1.7862650313073232,0.4668507165749874,4.093724526038036,0.4668507165749876,60,207.77234807163643,1.8608794877317034,
shah,train,6,3,0.29784061426928143,0.013396022336999882,0.3096962797209897,0.013396022336999014,36,8.323000570618007,0.4808268506385065,
shah,train,7,0,0.13345847909122213,0.017926300071882707,0.18313121049997177,0.01792630007188311,49,9.532985046245667,0.4410790351280634,
