method,heldout_translation_mm,heldout_rotation_deg,camera_pose_translation_mm,camera_pose_rotation_deg,camera_pose_aggregation,reprojection_rmse_px,reprojection_complete,observations,corners,registration_translation_mm,registration_rotation_deg,registration_aggregation,cross_view_reprojection_rmse_px,cross_view_complete,pair_observations,directed_corners,meaning
shah,59.942911999162675,8.09142225752103,105.00710594246931,8.09142225752103,equal-camera macro after per-camera event mean,92.67886749436964,True,16,641,164.82254258711805,12.91388123939931,equal-pair macro after per-event pair mean,126.34721019730853,True,24,1923,September 9 fixedBoard compared with September 10 moving-board fixed-camera calibration
tsai,60.591838588828814,9.269337834606109,109.36352553346083,9.26933783460611,equal-camera macro after per-camera event mean,97.07748974505533,True,16,641,163.16967661502827,14.272878972062855,equal-pair macro after per-event pair mean,125.89480588174506,True,24,1923,September 9 fixedBoard compared with September 10 moving-board fixed-camera calibration
park,60.29635786411909,8.089645169969158,106.41957915935032,8.089645169969158,equal-camera macro after per-camera event mean,98.76343332573,True,16,641,166.0550148069377,12.88613335122016,equal-pair macro after per-event pair mean,131.52320555599323,True,24,1923,September 9 fixedBoard compared with September 10 moving-board fixed-camera calibration
horaud,60.15811369729503,8.093332798886617,106.31906041003502,8.09333279888662,equal-camera macro after per-camera event mean,98.47384695238597,True,16,641,165.79125308676873,12.912423220335628,equal-pair macro after per-event pair mean,130.97674547714593,True,24,1923,September 9 fixedBoard compared with September 10 moving-board fixed-camera calibration
andreff,100.42924000616414,8.15758647656774,150.55064861591035,8.15758647656774,equal-camera macro after per-camera event mean,218.49013371733906,True,16,641,187.94717131669427,12.82478266505065,equal-pair macro after per-event pair mean,289.31993903956624,True,24,1923,September 9 fixedBoard compared with September 10 moving-board fixed-camera calibration
daniilidis,60.341135220937375,7.951161271899561,105.46859695643964,7.9511612718995615,equal-camera macro after per-camera event mean,96.9018299392704,True,16,641,162.9036010134517,12.652368295856085,equal-pair macro after per-event pair mean,127.19001845888181,True,24,1923,September 9 fixedBoard compared with September 10 moving-board fixed-camera calibration
