method,split,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,heldout,189,1,1.015016943569481,0.1753193382364262,16,0.9080980912844847,0.23823545224269266,
shah,heldout,392,1,1.4289308766010405,0.060664382315686195,14,0.4808813735859073,0.18533394060951308,
shah,train,95,1,1.2944255537305067,0.09325648153588843,18,0.8175757005452478,0.21312173106587173,
shah,train,131,1,0.8364755483070558,0.3721639145590764,17,1.4318578195256773,0.29021876328096696,
shah,train,149,1,0.7828768682365055,0.035658318137672736,18,0.7086226148924748,0.19841351528961412,
shah,train,259,1,0.2125778987804293,0.02213234916084982,13,0.5588826304219826,0.20734264291486626,
shah,train,381,1,0.2992602380771369,0.16533815185392015,16,1.083742284709333,0.26025735877076234,
shah,train,390,1,0.11038957836303859,0.1463047210433423,15,0.7092437131784546,0.21744634789275485,
shah,heldout,189,3,0.2586102780496748,0.11081926026252806,20,1.2838850394953292,0.25336584610946766,
shah,heldout,392,3,0.5318973158021443,0.0225793420259199,15,1.171404329812617,0.2794523608551336,
shah,train,95,3,0.4146992111295757,0.07859977739818672,22,1.2283056898442788,0.23628812245033304,
shah,train,131,3,0.2050631905067357,0.03273033469979833,13,0.7940301279197083,0.24714214656591524,
shah,train,149,3,0.10180299876356687,0.03592885107164866,13,0.696819098589728,0.231519910854956,
shah,train,259,3,0.5160563765271244,0.05048077050202709,19,1.002663276551716,0.22972102950635306,
shah,train,381,3,0.2932996356044703,0.055476463795983894,20,0.7806585858591264,0.19756753096841678,
shah,train,390,3,0.38449718247878717,0.04208475845258659,14,0.44759346433647673,0.17880425536971922,
park,heldout,189,1,2.2727358088092346,0.1753316686591991,16,83.17003173825698,2.279940127205331,
park,heldout,392,1,1.6876466467398572,0.06062941358875593,14,25.29462864702657,1.3441574271912224,
park,train,95,1,1.6686755338759478,0.09323641072461533,18,24.605499526016676,1.1691758618316646,
park,train,131,1,1.8751040658064684,0.3721239679350674,17,113.03826707730687,2.57862556957711,
park,train,149,1,1.1367834812126159,0.03568132383443277,18,27.68411007642531,1.2401637453808112,
park,train,259,1,0.41525104107212685,0.02220946659859543,13,3.884488972825321,0.5466322749925092,
park,train,381,1,2.8844088815833424,0.16540162023786117,16,230.2600569399741,3.79358057232852,
park,train,390,1,0.7344158227308384,0.14632973095288618,15,9.496626728609504,0.7956811224190046,
park,heldout,189,3,0.16285066002706367,0.11082085680556389,20,1.101840354840077,0.2347168884890984,
park,heldout,392,3,0.4821069847024417,0.022580248950315216,15,1.1606951838484771,0.27817203116638417,
park,train,95,3,0.4465342202553929,0.07860059173849064,22,0.9121201721185499,0.20361730727904848,
park,train,131,3,0.27318497674033404,0.03273047427386089,13,0.8662449872835567,0.25813606836519926,
park,train,149,3,0.12316037618604757,0.03593010035447893,13,0.5279791192477676,0.2015286044304243,
park,train,259,3,0.5199420463555554,0.05047984848777776,19,1.2504894143026803,0.2565447959552484,
park,train,381,3,0.22646575360168625,0.05547480249124351,20,2.1675436825750296,0.3292069017027916,
park,train,390,3,0.38763812661293395,0.04208535834269072,14,0.26354985933472513,0.13720419072492052,
horaud,heldout,189,1,2.2727183106247235,0.17533157871970553,16,83.17023619747673,2.2799429296239624,
horaud,heldout,392,1,1.687663350643283,0.06062926185063468,14,25.29467759751799,1.3441587278059832,
horaud,train,95,1,1.6686578075292726,0.09323455938809355,18,24.605290439408456,1.1691708942524768,
horaud,train,131,1,1.8751036107539742,0.3721229793508104,17,113.03822403149805,2.578625078597211,
